institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
Ndolage VTC,ndolage vtc,,VETA,,public,vocational centre,Kagera,,"S.L.P 16, KAMACHUMU KAGERA",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Kutwa
KATAVI INSTITUTE OF SCIENCE AND DEVELOPMENT STUDIES,katavi institute of science and development studies,REG/BTP/094,NACTVET,,private,business college,Katavi,Mpanda Town Council,Mpanda Town Council - Katavi,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MPANDA COLLEGE OF HEALTH AND ALLIED SCIENCES,mpanda college of health and allied sciences,REG/HAS/219,NACTVET,,public,health college,Katavi,Mpanda Town Council,Mpanda Town Council - Katavi,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Mpanda VTC,mpanda vtc,,VETA,,public,vocational centre,Katavi,Barabara Ya Shanwe,"Barabara ya Shanwe S.L.P 190, MPANDA KATAVI",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na Kutwa
Nkasi DVTC,nkasi dvtc,,VETA,,public,vocational centre,Katavi,Nkasi,S.L.P 116 NKASI KATAVI,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na kutwa
Rukwa RVTSC,rukwa rvtsc,,VETA,,public,vocational centre,Katavi,Sumbawanga,S.L.P 525 SUMBAWANGA KATAVI,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Sokoine University of Agriculture(SUA) - Mizengo Pinda Campus College,sokoine university of agriculture mizengo pinda campus college,,TCU,,public,university college,Katavi,,Katavi,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university campus college approved to admit students in 2025/2026.
Buhigwe DVTC,buhigwe dvtc,,VETA,,public,vocational centre,Kigoma,Buhigwe,S.L.P 468 BUHIGWE KIGOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
CLINICAL OFFICERS TRAINING CENTRE KIGOMA,clinical officers training centre kigoma,REG/HAS/039,NACTVET,,public,health college,Kigoma,,with four (4) passes in non-religious subjects including Chemistry Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Chuo cha Ualimu Kabanga,chuo cha ualimu kabanga,,Ministry,,public,teacher college,Kigoma,Kasulu District,"Mubondo area, 12 km before Kasulu town; P.O. Box 265, Kasulu",Mainland,,0763005210,kabangatc@moe.go.tz,CAS,https://www.moe.go.tz/sites/default/files/KABANGA%20TC%20Joining%20instruction%202025-2026.pdf,regulator,high,2026-04-24,Contacts and location from ministry joining instructions 2025. || Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
DIVINE COLLEGE OF HEALTH AND ALLIED SCIENCES,divine college of health and allied sciences,REG/HAS/253,NACTVET,,private,health college,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
FISHERIES EDUCATION AND TRAINING AGENCY (FETA) KIGOMA,fisheries education and training agency kigoma,REG/SAT/003,NACTVET,,public,agriculture college,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"KASULU COLLEGE OF HEALTH, ALLIED SCIENCES AND TECHNOLOGY",kasulu college of health allied sciences and technology,REG/HAS/252,NACTVET,,private,health college,Kigoma,Kasulu District Council,Kasulu District Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KIBONDO CLINICAL OFFICERS TRAINING CENTRE,kibondo clinical officers training centre,REG/HAS/228,NACTVET,,public,health college,Kigoma,Kibondo District Council,Kibondo District Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KIBONDO SCHOOL OF NURSING,kibondo school of nursing,REG/HAS/159,NACTVET,,public,health college,Kigoma,Kibondo District Council,Kibondo District Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Kasulu DVTC,kasulu dvtc,,VETA,,public,vocational centre,Kigoma,Kasulu,S.L.P 422 KASULU-KIGOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
Kigoma RVTSC,kigoma rvtsc,,VETA,,public,vocational centre,Kigoma,,S.L.P 1068 KIGOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na Kutwa
MBONYE TRAINING COLLEGE,mbonye training college,REG/BTP/127,NACTVET,,private,business college,Kigoma,Kibondo District Council,Kibondo District Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MINISTRY OF AGRICULTURE TRAINING INSTITUTE - MUBONDO,ministry of agriculture training institute mubondo,REG/SAT/023,NACTVET,,public,agriculture college,Kigoma,Kasulu Town Council,Kasulu Town Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NATIONAL METEOROLOGICAL TRAINING CENTRE - KIGOMA,national meteorological training centre kigoma,REG/EOS/025,NACTVET,,public,technical college,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Nyamidaho VTC,nyamidaho vtc,,VETA,,public,vocational centre,Kigoma,Kasulu,S.L.P 276 KASULU KIGOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
Tanzania Institute of Accountancy (TIA) Kigoma,tanzania institute of accountancy kigoma,,TCU,,public,business college,Kigoma,,Kigoma,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
UJIJI BROADCASTING ACADEMY,ujiji broadcasting academy,REG/BTP/147,NACTVET,,private,business college,Kigoma,Kigoma-Ujiji Municipal Council,Kigoma-Ujiji Municipal Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Uvinza DVTC,uvinza dvtc,,VETA,,public,vocational centre,Kigoma,Uvinza,S.L.P 111 UVINZA KIGOMA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
WESTERN TANGANYIKA COLLEGE - KIGOMA,western tanganyika college kigoma,REG/BMG/032,NACTVET,,private,business college,Kigoma,Kigoma District Council,Kigoma District Council - Kigoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"COLLEGE OF AFRICAN WILDLIFE MANAGEMENT, MWEKA - MOSHI",college of african wildlife management mweka moshi,REG/ANE/006,NACTVET,,public,agriculture college,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
College of African Wildlife Management Mweka (CAWM),college of african wildlife management mweka,,TCU,,public,agriculture college,Kilimanjaro,,Kilimanjaro,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
FARAJA HEALTH TRAINING INSTITUTE,faraja health training institute,REG/HAS/167,NACTVET,,private,health college,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
FOREST INDUSTRIES TRAINING INSTITUTE (FITI),forest industries training institute,REG/ANE/019,NACTVET,,public,agriculture college,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
GREEN BIRD COLLEGE - MWANGA,green bird college mwanga,REG/TLF/065,NACTVET,,private,mixed,Kilimanjaro,Mwanga District Council,Mwanga District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
HUHESO INSTITUTE OF JOURNALISM AND COMMUNITY DEVELOPMENT (HIJCD),huheso institute of journalism and community development,REG/BTP/131,NACTVET,,private,community development/social work college,Kilimanjaro,"Development, Community Health, Social Work, Gender, Youth Economics","Development, Community Health, Social Work, Gender, Youth Economics",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF SOCIAL WORK - KISANGARA CAMPUS,institute of social work kisangara campus,REG/BTP/009,NACTVET ; TCU,,public,community development/social work college,Kilimanjaro,Mwanga District Council,Mwanga District Council - Kilimanjaro,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: Institute of Social Work- Kisangara Campus (ISW) || Ownership labels differed across sources.
KCMC University,kcmc university,,TCU,,private,university,Kilimanjaro,,Kilimanjaro,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
KILACHA AGRICULTURE AND LIVESTOCK TRAINING INSTITUTE,kilacha agriculture and livestock training institute,REG/ANE/017,NACTVET,,private,agriculture college,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO AGRICULTURAL TRAINING CENTRE - MOSHI,kilimanjaro agricultural training centre moshi,REG/SAT/001,NACTVET,,public,technical college,Kilimanjaro,,"passes in Biology, Chemistry, Physics/ Engineering Sciences, Basic Mathematics, Nutrition, Agriculture Science and Geography. A pass in English Language will be an added advantage",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO COLLEGE OF HEALTH AND ALLIED SCIENCES,kilimanjaro college of health and allied sciences,REG/HAS/070-J,NACTVET,,public,health college,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO INSTITUTE OF HEALTH SCIENCES,kilimanjaro institute of health sciences,REG/HAS/247,NACTVET,,private,health college,Kilimanjaro,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO INTERNATIONAL INSTITUTE FOR TELECOMMUNICATIONS ELECTRONICS AND COMPUTERS,kilimanjaro international institute for telecommunications electronics and computers,REG/EOS/027,NACTVET,,private,ICT college,Kilimanjaro,Arusha District Council,Arusha District Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO LOITARE COLLEGE,kilimanjaro loitare college,REG/BTP/164P,NACTVET,,private,business college,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Kilimanjaro modern,kilimanjaro modern,,Ministry,,unknown,teacher college,Kilimanjaro,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
MONG'ARE MEDICAL TRAINING COLLEGE,mong are medical training college,REG/HAS/218,NACTVET,,private,health college,Kilimanjaro,Hai District Council,Hai District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MWENGE CATHOLIC UNIVERSITY,mwenge catholic university,U/SAT/20 AND U/BTP/20,NACTVET ; TCU,,private,university,Kilimanjaro,Moshi District Council,Moshi District Council - Kilimanjaro,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET universities certificate and diploma guidebook 2025/2026. ; Listed by TCU as university approved to admit students in 2025/2026. || Alternate official spellings/names seen: Mwenge Catholic University (MWECAU)
Moshi Cooperative University (MoCU),moshi cooperative university,,TCU,,public,university,Kilimanjaro,,Kilimanjaro,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
Moshi RVTSC,moshi rvtsc,,VETA,,public,vocational centre,Kilimanjaro,Moshi,Market Street S.L.P 1738 MOSHI KILIMANJARO,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na kutwa
NORTHERN COLLEGE OF HEALTH AND ALLIED SCIENCES,northern college of health and allied sciences,REG/HAS/199,NACTVET,,private,health college,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SAME SCHOOL OF NURSING,same school of nursing,REG/HAS/030,NACTVET,,public,health college,Kilimanjaro,Same District Council,Same District Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SPRING INSTITUTE OF BUSINESS AND SCIENCE,spring institute of business and science,REG/HAS/140,NACTVET,,private,health college,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ZAWADI MEMORIAL HEALTH TRAINING INSTITUTE,zawadi memorial health training institute,REG/HAS/206,NACTVET,,private,health college,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
LINDI COLLEGE OF HEALTH AND ALLIED SCIENCES,lindi college of health and allied sciences,REG/HAS/016N,NACTVET,,public,health college,Lindi,Lindi Municipal Counci,Lindi Municipal Counci - Lindi,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Lindi RVTSC,lindi rvtsc,,VETA,,public,vocational centre,Lindi,,S.L.P. 1001 LINDI,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na kutwa
NACHINGWEA SCHOOL OF NURSING,nachingwea school of nursing,REG/NACTVET/0278,NACTVET,,public,health college,Lindi,Nachingwea District Council,Nachingwea District Council - Lindi,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Ruangwa DVTC,ruangwa dvtc,,VETA,,public,vocational centre,Lindi,Ruangwa,S.L.P 110 RUANGWA LINDI,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na kutwa
Gorowa DVTC,gorowa dvtc,,VETA,,public,vocational centre,Manyara,Babati,S.L.P 638 BABATI MANYARA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
MANYARA INSTITUTE OF HEALTH AND ALLIED SCIENCES,manyara institute of health and allied sciences,REG/HAS/256,NACTVET,,private,health college,Manyara,Babati Town Counci,Babati Town Counci - Manyara,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MBULU SCHOOL OF NURSING,mbulu school of nursing,REG/HAS/027,NACTVET,,public,health college,Manyara,Mbulu District Council,Mbulu District Council - Manyara,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Manyara RVTSC,manyara rvtsc,,VETA,,public,vocational centre,Manyara,Babati,S.L.P 485 BABATI-MANYARA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na kutwa
Simanjiro VTC,simanjiro vtc,,VETA,,public,vocational centre,Manyara,,S.L.P 376 MANYARA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
BUHARE COMMUNITY DEVELOPMENT TRAINING INSTITUTE- MUSOMA,buhare community development training institute musoma,REG/PWF/011,NACTVET,,public,community development/social work college,Mara,Musoma Municipal Council,"Musoma Municipal Council - Mara Development, Community Health, Social Work, Gender, Youth Work Economics",Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
BUHEMBA COMMUNITY DEVELOPMENT TRAINING INSTITUTE,buhemba community development training institute,BUHEMBA CDTI,NACTVET,,unknown,community development/social work college,Mara,Butiama District Council,Butiama District Council - Mara,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Butiama DVTC,butiama dvtc,,VETA,,public,vocational centre,Mara,,"S.L.P 979,BUTIAMA MARA",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Il; Boarding/day: Bweni na Kutwa
CLINICAL OFFICERS TRAINING CENTRE MUSOMA,clinical officers training centre musoma,REG/HAS/033,NACTVET,,public,health college,Mara,Musoma District Council,Musoma District Council - Mara,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Chuo cha Ualimu Bunda,chuo cha ualimu bunda,,Ministry,,public,teacher college,Mara,Bunda District,"Bunda, Mara; P.O. Box 01 Bunda",Mainland,,,,CAS,https://www.moe.go.tz/sw/vyuo/chuo-cha-ualimu-bunda,regulator,high,2026-04-24,Location described on ministry college page. || Government teacher college offering diploma pathway(s) in 2025/2026 ministry notice. Apply via tcm.moe.go.tz.
IMANI COLLEGE OF HEALTH AND ALLIED SCIENCES,imani college of health and allied sciences,REG/HAS/190,NACTVET,,private,health college,Mara,Rorya District Council,Rorya District Council - Mara,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MARA ZONE TRAINING COLLEGE,mara zone training college,REG/BTP/150P,NACTVET,,private,business college,Mara,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
