institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
MCHUKWI INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/136N,(REG/HAS/136N),unknown,religious,health,Pwani,Rufiji District Council,Rufiji District Council - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MEDICAL MISSIONARIES OF MARY SCHOOL OF PHARMACEUTICAL SCIENCES,REG/HAS/234,(REG/HAS/234),unknown,religious,health,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MGAO HEALTH TRAINING INSTITUTE,REG/HAS/141,(REG/HAS/141),unknown,private,health,Njombe,Njombe District Council,Njombe District Council - Njombe,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MGM HEALTH TRAINING INSTITUTE,REG/HAS/231,(REG/HAS/231),unknown,private,health,Iringa,Iringa Municipal Council,Iringa Municipal Council - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MICROTECH INSTITUTE OF BUSINESS AND TECHNOLOGY - ZANZIBAR,REG/BTP/062,(REG/BTP/062),unknown,private,mixed,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MILITARY AVIATION SCHOOL,REG/SAT/031,(REG/SAT/031),unknown,public,technical,Morogoro,Morogoro District Council,Morogoro District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MILITARY COLLEGE OF MEDICAL SCIENCES - MWANZA CAMPUS,REG/HAS/221,(REG/HAS/221),unknown,public,health,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MILITARY COLLEGE OF MEDICAL SCIENCES - ZANZIBAR CAMPUS,REG/HAS/226,(REG/HAS/226),unknown,public,health,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINERAL RESOURCE INSTITUTE (MRI) - NZEGA,REG/SAT/040,(REG/SAT/040),unknown,private,technical,Tabora,Nzega District Council,Nzega District Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINERAL RESOURCES INSTITUTE (MADINI INSTITUTE) - DODOMA,REG/EOS/011,(REG/EOS/011),unknown,public,technical,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE - MTWARA,REG/ANE/008,(REG/ANE/008),unknown,public,agriculture,Mtwara,Mtwara District Council,Mtwara District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE - MUBONDO,REG/SAT/023,(REG/SAT/023),unknown,public,agriculture,Kigoma,Kasulu Town Council,Kasulu Town Council - Kigoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE IGURUSI - MBEYA,REG/ANE/009,(REG/ANE/009),unknown,public,mixed,Mbeya,Mbarali District Council,Mbarali District Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE INYALA - MBEYA,REG/SAT/019,(REG/SAT/019),unknown,public,agriculture,Mbeya,Mbeya District Council,Mbeya District Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE MARUKU - BUKOBA,REG/SAT/038P,(REG/SAT/038P),unknown,public,agriculture,Kagera,Bukoba District Council,Bukoba District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE MLINGANO TANGA,REG/ANE/003,(REG/ANE/003),unknown,public,mixed,Tanga,Muheza District Council,Muheza District Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE TUMBI - TABORA,REG/ANE/020,(REG/ANE/020),unknown,public,agriculture,Tabora,Tabora Municipal Council,Tabora Municipal Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE UKIRIGURU- MWANZA,REG/ANE/012,(REG/ANE/012),unknown,public,agriculture,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTITUTE UYOLE - MBEYA,REG/ANE/005,(REG/ANE/005),unknown,public,agriculture,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MINISTRY OF AGRICULTURE TRAINING INSTIUTE ILONGA - KILOSA,REG/ANE/011,(REG/ANE/011),unknown,public,mixed,Morogoro,Kilosa District Council,Kilosa District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MISUNGWI COMMUNITY DEVELOPMENT TECHNICAL TRAINING INSTITUTE-MWANZA,REG/EOS/015,(REG/EOS/015),unknown,public,technical,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MIZPAH HEALTH INSTITUTE - MISUNGWI,REG/HAS/267,(REG/HAS/267),unknown,private,health,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MKOLANI FOUNDATION HEALTH SCIENCES TRAINING INSTITUTE,REG/HAS/169,(REG/HAS/169),unknown,private,health,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MLALE COMMUNITY DEVELOPMENT TRAINING INSTITUTE (CDTI) - SONGEA,REG/PWF/033,(REG/PWF/033),unknown,public,mixed,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MLANDIZI COLLEGE OF HEALTH AND ALLIED SCIENCES - KIBAHA,REG/HAS/238,(REG/HAS/238),unknown,private,health,Pwani,Kibaha District Counci,Kibaha District Counci - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MLIMBA INSTITUTE OF HEALTH AND ALLIED SCIENCE,REG/HAS/185,(REG/HAS/185),unknown,private,health,Morogoro,Kilombero District Council,Kilombero District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MONDULI COMMUNITY DEVELOPMENT TRAINING INSTITUTE,REG/PWF/026,(REG/PWF/026),unknown,public,mixed,Arusha,Monduli District Council,Monduli District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
"MONDULI INSTITUTE OF TECHNOLOGY, ENTREPRENEURSHIP AND COOPERATIVES",REG/BTP/144,(REG/BTP/144),unknown,religious,business,Arusha,Monduli District Council,Monduli District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MONG'ARE MEDICAL TRAINING COLLEGE,REG/HAS/218,(REG/HAS/218),unknown,private,health,Kilimanjaro,Hai District Council,Hai District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MOONSHINE TRAINING INSTITUTE,REG/BTP/209,(REG/BTP/209),unknown,private,mixed,Kagera,Ngara District Council,Ngara District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MOROGORO COLLEGE OF HEALTH SCIENCE,REG/HAS/051-J,(REG/HAS/051-J),unknown,public,health,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MOROGORO SCHOOL OF JOURNALISM (MSJ),REG/PWF/005,(REG/PWF/005),unknown,private,business,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MOROGORO VOCATIONAL TEACHERS TRAINING COLLEGE - MOROGORO,REG/BTB/128,(REG/BTB/128),unknown,public,mixed,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MOSHI UNIVERSITY COLLEGE OF COOPERATIVE AND BUSINESS STUDIES,MOCU; MC,(MOCU) (MC),Accredited and Chartered,public,business,Kilimanjaro,Moshi Municipal Council,Moshi Municipal Council - Kilimanjaro,,,,direct institution,no,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Moshi Cooperative University (MoCU),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Moshi Cooperative University (MoCU)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
MOTACE COLLEGE OF BUSINESS STUDIES,REG/BTP/168P,(REG/BTP/168P),unknown,private,mixed,Iringa,Mafinga Town Counci,Mafinga Town Counci - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MOUNT ULUGURU COLLEGE OF HOTEL AND TOURISM,REG/BTP/141P,(REG/BTP/141P),unknown,private,tourism/hospitality,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MPANDA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/219,(REG/HAS/219),unknown,public,health,Katavi,Mpanda Town Council,Mpanda Town Council - Katavi,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MPWAPWA INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/217P,(REG/HAS/217P),unknown,public,health,Dodoma,Mpwapwa District Council,Mpwapwa District Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MS TRAINING CENTRE FOR DEVELOPMENT COOPERATION,REG/PWF/024,(REG/PWF/024),unknown,private,mixed,Arusha,Arumeru District Council,Arumeru District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MSIMBAZI CENTRE TRAINING INSTITUTE,REG/SAT/042,(REG/SAT/042),unknown,religious,ICT,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MSONGOLA HEALTH TRAINING INSTITUTE,REG/HAS/178,(REG/HAS/178),unknown,private,health,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MT. MARIA GORETTI AGRICULTURE TRAINING INSTITUTE,REG/ANE/036,(REG/ANE/036),unknown,private,agriculture,Iringa,Kilolo District Council,Kilolo District Council - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MTWARA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/015,(REG/HAS/015),unknown,public,health,Mtwara,Mtwara District Council,Mtwara District Council - Mtwara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MUFO COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/258P,(REG/HAS/258P),unknown,private,health,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MUHEZA COLLEGE OF HEALTH AND ALLIED SCIENCES - MUHEZA,REG/HAS/031-J,(REG/HAS/031-J),unknown,public,health,Tanga,Muheza District Council,Muheza District Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/101-J,(REG/HAS/101-J),unknown,public,health,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MUHIMBILI UNIVERSITY OF HEALTH AND ALLIED SCIENCES,MH,(MH),Accredited and Chartered,public,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Muhimbili University of Health and Allied Sciences (MUHAS),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Muhimbili University of Health and Allied Sciences (MUHAS)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
MURGWANZA INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/102N,(REG/HAS/102N),unknown,religious,health,Kagera,Ngara District Council,Ngara District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MUSLIM UNIVERSITY OF MOROGORO,U/TLF/03,(U/TLF/03),Accredited and Chartered,private,business,Morogoro,Morogoro District Council,Morogoro District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Muslim University of Morogoro (MUM),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Muslim University of Morogoro (MUM)'.
MVUMI INSTITUTE OF HEALTH SCIENCES,REG/HAS/011,(REG/HAS/011),unknown,religious,health,Dodoma,Chamwino District Council,Chamwino District Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
MWAMBANI SCHOOL OF NURSING,REG/HAS/089,(REG/HAS/089),unknown,religious,health,Mbeya,Chunya District Council,Chunya District Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
