programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Laws with Paralegal Studies,ordinary diploma in laws with paralegal studies,ordinary diploma,law,LAW SCHOOL OF TANZANIA,REG/BMG/040,"CSEE with 4+ non-religious passes including English language | NTA Level 4/BTC in Paralegal Studies, Police Science, Policing and Security Management, Correctional Science, Law Enforcement and Law or ACSEE with 1 principal + 1 subsidiary",English Language; English,3 years or 2 years,"Local Fee: TSH. 1,325,000/=",unknown,Ubungo Municipal Council - Dar es Salaam,150,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Technician Certificate in Accountancy,technician certificate in accountancy,technician certificate,business,LEGACY COLLEGE OF TOURISM AND BUSINESS STUDIES,REG/BTP/113P,certificate of secondary education (CSEE) with four passes in non-religious subjects including Basic Mathematics or NVA Level III with Certificate of Secondary Education,Basic Mathematics,2 years,"Local Fee: TSH. 1,300,000/=",unknown,Arusha City Council - Arusha,50,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Technician Certificate in Business Administration,technician certificate in business administration,technician certificate,business,LEGACY COLLEGE OF TOURISM AND BUSINESS STUDIES,REG/BTP/113P,CSEE with 4+ non-religious passes including Basis Mathematics and English or NVA Level III with a CSEE,Mathematics; English,2 years,"Local Fee: TSH. 1,300,000/=",unknown,Arusha City Council - Arusha,50,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Technician Certificate in Procurement and Supply,technician certificate in procurement and supply,technician certificate,logistics,LEGACY COLLEGE OF TOURISM AND BUSINESS STUDIES,REG/BTP/113P,CSEE with 4+ non-religious passes; or National Vocation Award (NVA) III with CSEE,,2 years,"Local Fee: TSH. 970,000/=",unknown,Arusha City Council - Arusha,50,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,LINDI COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/016N,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,285,400/=",unknown,Lindi Municipal Counci - Lindi,70,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,LITEMBO HEALTH TRAINING INSTITUTE,REG/HAS/266,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,500,000/=",unknown,Mbinga District Council - Ruvuma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,ordinary diploma,health,LITEMBO HEALTH TRAINING INSTITUTE,REG/HAS/266,"CSEE with 4+ non-religious passes including Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics and English Language",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,000,000/=",unknown,Mbinga District Council - Ruvuma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,LITEMBO HEALTH TRAINING INSTITUTE,REG/HAS/266,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,000,000/=",unknown,Mbinga District Council - Ruvuma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY BUHURI CAMPUS - TANGA,REG/ANE/022,"CSEE with at least four passes in non-religious subjects including two passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences or National Vocational Award (NVA Level III)/Trade Test I in Animal Health and Production with CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,207,500/=; Foreigner Fee: USD 4,030/=",unknown,Tanga City Council - Tanga,200,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY MABUKI CAMPUS,REG/SAT/027,"CSEE with at least Four passes in non-religious subjects including two passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences or National Vocational Award (NVA Level III) or Trade Test I in Animal Health and Production with CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,232,500/=; Foreigner Fee: USD 600/=",unknown,Misungwi District Council - Mwanza,170,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY MADABA CAMPUS,REG/ANE/021,"CSEE with 4+ non-religious passes including two passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences or NVA Level III/Trade Test I in Animal Health and Production with at least two (2) passes in CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,222,500/=; Foreigner Fee: USD 1,075/=",unknown,Songea Municipal Council - Ruvuma,185,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY MOROGORO CAMPUS,REG/ANE/010,"CSEE with 4+ non-religious passes including two passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences or NVA Level III/Trade Test I in Animal Health and Production with CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,222,500/=; Foreigner Fee: USD 1,075/=",unknown,Morogoro Municipal Council - Morogoro,394,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Range Management and Tsetse Control,ordinary diploma in range management and tsetse control,ordinary diploma,business,LIVESTOCK TRAINING AGENCY MOROGORO CAMPUS,REG/ANE/010,NTA Level 5/Technician Certificate in Animal Health and Production,,2 years,"Local Fee: TSH. 1,107,500/=; Foreigner Fee: USD 430/=",unknown,Morogoro Municipal Council - Morogoro,50,NTA Level 5,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY MPWAPWA CAMPUS,REG/ANE/013,"CSEE with at least four passes in non-religious subjects including two passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences or NVA Level III/Trade Test I in Animal Health and Production with at least two (2) passes in CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,222,500/=; Foreigner Fee: USD 1,075/=",unknown,Mpwapwa District Council - Dodoma,320,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY TEMEKE - DAR ES SALAAM CAMPUS,REG/SAT/004,"CSEE with 4+ non-religious passes including two Passes in Biology, Chemistry, Physics, Mathematics, Geography, and Agricultural Sciences or NVA Level III/trade Test I in Animal Health and Production with At Least two (2) Passes in CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,232,500/=; Foreigner Fee: USD 600/=",unknown,Temeke Municipal Council - Dar es Salaam,95,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Veterinary Laboratory Technology,ordinary diploma in veterinary laboratory technology,ordinary diploma,health,LIVESTOCK TRAINING AGENCY TEMEKE - DAR ES SALAAM CAMPUS,REG/SAT/004,"CSEE with 4+ non-religious passes including two passes in Biology, Chemistry, Physics/Engineering Sciences, Basic Mathematics, Agriculture Science and Geography or National Vocation Award (NVA) III/Trade Test I in Animal Health with CSEE with a Certificate of Secondary Education (CSEE)",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,420,000/=; Foreigner Fee: USD 915/=",unknown,Temeke Municipal Council - Dar es Salaam,150,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,ordinary diploma,health,LIVESTOCK TRAINING AGENCY TENGERU CAMPUS,REG/ANE/001,"CSEE with at least four passes in non-religious subjects including two passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences or NVA Level III/Trade Test I in Animal Health and Production with CSEE",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years,"Local Fee: TSH. 1,225,000/=; Foreigner Fee: USD 600/=",unknown,Arusha District Council - Arusha,480,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,LOCAL GOVERNMENT TRAINING INSTITUTE - DODOMA TOWN CENTRE,REG/BTP/206,CSEE with At Least 4 Passes in non-religious Subjects | Holder Certificate of Secondary Education Examination with four Passes in Non Religious Subjects and A Holder of Basic Technician Certificate in Community Development or ACSEE with one Principal and Subsidiary Pass,,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Dodoma Municipal Council - Dodoma,150 or 100,CSEE; ACSEE; Certificate,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE - DODOMA TOWN CENTRE,REG/BTP/206,CSEE with 4+ non-religious passes | NTA Level 4/BTC in Human Resource Management,,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Accounting and Finance,ordinary diploma in local government accounting and finance,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE - DODOMA TOWN CENTRE,REG/BTP/206,"CSEE with 4+ non-religious passes | Basic Technician Certificate in ,accounting and Finance/local Government/statistics or ACSEE with one Principal Pass and two Subsidiary in Relevant Subjects",Accounting,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Dodoma Municipal Council - Dodoma,150,CSEE; Certificate,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Administration,ordinary diploma in local government administration,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE - DODOMA TOWN CENTRE,REG/BTP/206,CSEE with 4+ non-religious passes | Basic Technician Certificate in Local Government Administration /human Resource Management/Law or Advanced Certificate of Secondary Examination one Principal Pass and two Subsidiary Pass,,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Dodoma Municipal Council - Dodoma,150,CSEE; Certificate,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,LOCAL GOVERNMENT TRAINING INSTITUTE - SHINYANGA CAMPUS,REG/BTP/148,"CSEE with 4+ non-religious passes | Technician Certificate (NTA Level 4) in Community Development, community Health, Social Work, Gender, Human Resource Management-administration, Law, agriculture, nursing or Holders of ACSEE with one Principle Pass and one Subsidiary Pass in principal subjects",Agriculture,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Shinyanga District Council - Shinyanga,300,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE - SHINYANGA CAMPUS,REG/BTP/148,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Human Resource Management, Business Administration, Records Management, Public Relations, Education or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Shinyanga District Council - Shinyanga,200,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Accounting and Finance,ordinary diploma in local government accounting and finance,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE - SHINYANGA CAMPUS,REG/BTP/148,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Local Government Accounting, Finance, Local Government Administration, Statistics, Business Administration, Education, Marketing, Entrepreneurship, Economics, Monitoring and Evaluation, Computer Technology, Information Technology, or Advanced Certificate in Secondary Education Examination (ACSEE) with 1 principal + 1 subsidiary",Economics; Accounting,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Shinyanga District Council - Shinyanga,200,CSEE; ACSEE; NTA Level 4; Certificate,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Administration,ordinary diploma in local government administration,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE - SHINYANGA CAMPUS,REG/BTP/148,"CSEE with 4+ non-religious passes | Technician Certificate (NTA Level 4) or Equivalents Recognized By NACTE In: A) Human Resource Management- administration, Minimum Pass (2.0 Gpa), First Priority B) Local Government Administration, Minimum Pass (2.0 Gpa), First Priority C) Community Development, Minimum Pass (2.0 Gpa), Second Priority D) Business-business Administration, Minimum Pass (2.0 Gpa), First Priority and E) Law, Minimum Pass (2.0 Gpa), First Priority F) Journalism, Minimum Pass (2.0 Gpa), First Priority G) Education,general Agriculture, Minimum Pass (2.0 Gpa), First Priority And H) Any Other Related Field or Form six with one Principal Pass and one Subsidiary",Agriculture,3 years or 2 years,"Local Fee: TSH. 975,000/=",unknown,Shinyanga District Council - Shinyanga,200,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,REG/BMG/020,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Social Work,Gender,Community Development, Human Resource Management, Law, Agriculture,Nursing or ACSEE with one principal pass and one subsidiary pass",Agriculture,3 years or 2 years,"Local Fee: TSH. 915,000/=; Foreigner Fee: USD 1,200/=",unknown,Dodoma Municipal Council - Dodoma,1300,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,REG/BMG/020,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Human Resource Management, Business Administration, Records Management, Public Relation, Education or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 915,000/=; Foreigner Fee: USD 1,200/=",unknown,Dodoma Municipal Council - Dodoma,350,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Accounting and Finance,ordinary diploma in local government accounting and finance,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,REG/BMG/020,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Local Government Accounting, Finance, Local Government Administration, Statistics, Business Administration, Education, Marketing, Entrepreneurship, Economics, Monitoring and Evaluation, Computer Technology, Information Technology or Advanced Certificate in Secondary Education Examination (ACSEE) with 1 principal + 1 subsidiary",Economics; Accounting,3 years or 2 years,"Local Fee: TSH. 915,000/=; Foreigner Fee: USD 1,200/=",unknown,Dodoma Municipal Council - Dodoma,300 or 330,CSEE; ACSEE; NTA Level 4; Certificate,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Local Government Administration,ordinary diploma in local government administration,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,REG/BMG/020,"CSEE with 4+ non-religious passes | Technician Certificate (NTA Level 4) in Human Resource Management-Administration, Local Government Administration, Community Development, Business-Business Administration, Law, Journalism, Education or ACSEE with at least one Principal pass and one Subsidiary in Principal in Principal subjects",,3 years or 2 years,"Local Fee: TSH. 915,000/=; Foreigner Fee: USD 1,200/=",unknown,Dodoma Municipal Council - Dodoma,1300 or 900,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Procurement and Supply Management,ordinary diploma in procurement and supply management,ordinary diploma,logistics,LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,REG/BMG/020,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Accounts- Banking-Finance, Procurement-Supply, Purchasing and Inventory, Statistics, Business-Business Administration, Marketing, Entrepreneurship, Economics, Monitoring and Evaluation, Computer Technology, Education or ACSEE with at least one Principal pass and Subsidiary in Principal subjects",Economics,3 years or 2 years,"Local Fee: TSH. 915,000/=",unknown,Dodoma Municipal Council - Dodoma,330 or 300,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,LOCAL GOVERNMENT TRAINING INSTITUTE HOMBOLO - DODOMA,REG/BMG/020,"CSEE with at least four (4) passes in non-religious | Technician Certificate (NTA Level 4) in Information Technology (IT), Records Management, Library and Information Science, Journalism, Secretarial, Education or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 915,000/=",unknown,Dodoma Municipal Council - Dodoma,350,CSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,LUGALA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/106N,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 900,000/=",unknown,Ulanga District Council - Morogoro,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,LUGALA COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/106N,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 900,000/=",unknown,Ulanga District Council - Morogoro,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Dentistry,ordinary diploma in clinical dentistry,ordinary diploma,health,LUGALO MILITARY MEDICAL SCHOOL,REG/HAS/061,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences",Biology; Chemistry; Physics/Engineering Sciences,3 years,"Local Fee: TSH. 2,865,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,25,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,LUGALO MILITARY MEDICAL SCHOOL,REG/HAS/061,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 2,960,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,ordinary diploma,health,LUGALO MILITARY MEDICAL SCHOOL,REG/HAS/061,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 2,960,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,30,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,LUGALO MILITARY MEDICAL SCHOOL,REG/HAS/061,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 2,865,000/=",unknown,Kinondoni Municipal Council - Dar es Salaam,70,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,LUGARAWA HEALTH TRAINING INSTITUTE (LUHETI),REG/HAS/036,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,300,000/=",unknown,Ludewa District Council - Njombe,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Diagnostic Radiography,ordinary diploma in diagnostic radiography,ordinary diploma,media,LUGARAWA HEALTH TRAINING INSTITUTE (LUHETI),REG/HAS/036,"CSEE with D passes in Chemistry, Biology ,Physics, Basic Mathematics and English Language",Biology; Chemistry; Physics; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,000,000/=",unknown,Ludewa District Council - Njombe,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
