programme_name,normalized_programme_name,institution_name,normalized_institution_name,raw_requirement_text,accepts_form_four_direct,accepts_form_six,accepts_certificate,accepts_diploma,accepts_equivalent,minimum_csee_division_if_available,minimum_acsee_principal_passes_if_available,minimum_points_if_available,required_subjects,required_subject_grades_if_available,required_prior_field_if_available,bridge_or_foundation_required,eligibility_confidence,official_source_url,notes
Ordinary Diploma in Information and Communication Technology,ordinary diploma in information and communication technology,JR INSTITUTE OF INFORMATION TECHNOLOGY - DAR ES SALAAM,jr information technology dar es salaam,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocational Award (NVA) III in Information Communication Technology with at least two (2) passes in Certificate of Secondary Education Examination (CSEE).,yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Law,ordinary diploma in law,INSTITUTE OF JUDICIAL ADMINISTRATION (IJA) - LUSHOTO,judicial administration ija lushoto,Holders of Basic Technician Certificate (NTA Level 4) in Law OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects,no,yes,yes,no,no,,,,,,Law,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Law,ordinary diploma in law,INSTITUTE OF JUDICIAL ADMINISTRATION (IJA) - LUSHOTO,judicial administration ija lushoto,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including English Language.,yes,no,no,no,no,four CSEE passes,,,English; English Language,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,K'S ROYAL COLLEGE OF HEALTH SCIENCES,k s royal health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,K'S ROYAL COLLEGE OF HEALTH SCIENCES,k s royal health sciences,Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage.,no,no,no,no,no,,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,K'S ROYAL COLLEGE OF HEALTH SCIENCES,k s royal health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Environmental Health Sciences,ordinary diploma in environmental health sciences,KAGEMU SCHOOL OF ENVIRONMENTAL HEALTH SCIENCES,kagemu school environmental health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Biology Chemistry and Physics/Engineering Sciences.,yes,no,no,no,no,four CSEE passes,,,Biology; Chemistry; Engineering Science; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Carpentry and Joinery (CJ),carpentry and joinery cj,Kagera VTC,kagera vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Design Sewing & Clothing Technology (DSCT),design sewing and clothing technology dsct,Kagera VTC,kagera vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Electrical Installation (EL),electrical installation el,Kagera VTC,kagera vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Masonry and Bricklaying (MB),masonry and bricklaying mb,Kagera VTC,kagera vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Motor Vehicle Mechanics (MVM),motor vehicle mechanics mvm,Kagera VTC,kagera vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Welding & Fabrication (WF),welding and fabrication wf,Kagera VTC,kagera vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Clinical Nutrition,ordinary diploma in clinical nutrition,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language is an added advantage,yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,"Holders of Basic Technician Certificate (NTA Level 4 ) in Community Development, Social Work, Gender, Youth Work or Advanced Certificate of Secondary Education Examination (ACSEE) with At Least one Principal Pass and one Subsidiary in Principal Subject",no,yes,yes,no,no,,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage.,yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,"Holders of Basic Technician Certificate (NTA Level 4) in Social Work, Gender, Community Development, Youth Work or Advanced Certificate of Secondary Education Examination (ACSEE) with At Least one Principal Pass and one Subsidiary in Principal Subjects",no,yes,yes,no,no,,,,,,"Social Work, Gender, Community Development, Youth Work",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KAHAMA COLLEGE OF HEALTH SCIENCES,kahama health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,KAHAMA SCHOOL OF NURSING,kahama school nursing,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Bachelor of Science in Nursing,bachelor of science in nursing,Kairuki University (KU),kairuki ku,"Three principal passes in Chemistry, Biology and either Physics or Advanced Mathematics or Nutrition with a minimum of 6 points: A minimum of C grade in Chemistry and D grade in Biology and at least E grade in Physics or Advanced Mathematics or Nutrition.",no,yes,no,no,no,,three principal passes,6.0,Advanced Mathematics; Biology; Chemistry; Mathematics; Nutrition; Physics,C grade in Chemistry and D grade in Biology and at least E grade in Physics or Advanced Mathematics or Nutrition,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: KU002.
Bachelor of Social Work,bachelor of social work,Kairuki University (KU),kairuki ku,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",no,yes,no,no,no,,two principal passes,4.0,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; Fine Arts; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: KU003.
Doctor of Medicine,doctor of medicine,Kairuki University (KU),kairuki ku,"Three principal passes in Physics, Chemistry and Biology with a minimum of 6 points: A minimum of D grade in Chemistry, Biology and Physics.",no,yes,no,no,no,,three principal passes,6.0,Biology; Chemistry; Physics,minimum of D grade in Chemistry; D grade in Chemistry,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: KU001.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,KAIRUKI SCHOOL OF NURSING,kairuki school nursing,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Nursing and Midwifery (in- service),ordinary diploma in nursing and midwifery in service,KAIRUKI SCHOOL OF NURSING,kairuki school nursing,"Holders of Technician Certificate (NTA Level 5) in Nursing and at least a pass in Biology, Chemistry or Physics OR an Average of B+ in Nursing and Midwifery/Public Health Nurse with at least a pass in Biology, Chemistry or Physics and work experience of two (2) years.",no,yes,yes,no,no,,,,Biology; Chemistry; Physics,,Nursing,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Nursing and Midwifery (in- service),ordinary diploma in nursing and midwifery in service,KAIRUKI SCHOOL OF NURSING,kairuki school nursing,Necessary attachments: License to Practice and Letter of Permission from Employer,no,no,no,no,no,,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KAIRUKI SCHOOL OF NURSING,kairuki school nursing,"Holders of Basic Technician Certificate (NTA Level 4) in Social Work, Social Protection OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Social Work, Social Protection",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KAIRUKI SCHOOL OF NURSING,kairuki school nursing,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT - MWANZA CAMPUS,kaliua community development mwanza campus,"Holders of Basic Technician Certificate (NTA Level 4) in Community Development, Social Work, Community Health, Gender, Youth Work and Social Protection OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Community Development, Social Work, Community Health, Gender, Youth Work and Social Protection",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT - MWANZA CAMPUS,kaliua community development mwanza campus,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT - MWANZA CAMPUS,kaliua community development mwanza campus,"Holders of Basic Technician Certificate (NTA Level 4) in Social Work, Gender, Community Health, Community Development OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Social Work, Gender, Community Health, Community Development",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT - MWANZA CAMPUS,kaliua community development mwanza campus,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,"Holders of Basic Technician Certificate (NTA Level 4) in Community Development, Community Health, Development Planning OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Community Development, Community Health, Development Planning",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Community Development,ordinary diploma in community development,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocational Award (NVA ) Level III with a Certificate of Secondary Education Examinations (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,Holders of Basic Technician Certificate (NTA Level 4) in Human Resource Management.,no,yes,yes,no,no,,,,,,Human Resource Management,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Human Resource Management,ordinary diploma in human resource management,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) Passes in non-religious subjects OR National Vocational Award (NVA) Level III with Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Rural Development Planning,ordinary diploma in rural development planning,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,"Holders of Basic Technician Certificate (NTA Level 4) in Development Administration and Management, Rural Development Planning, Business Administration, Community Development OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal Pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Development Administration and Management, Rural Development Planning, Business Administration, Community Development",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Rural Development Planning,ordinary diploma in rural development planning,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,Holders of Certificate of Secondary Education Examination (CSEE) with at least Four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,Holders of Basic Technician Certificate (NTA Level 4) with at least four (4) passes in Social Work OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principle Pass and one Subsidiary in Principal subjects,no,yes,yes,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,kaliua community development tabora,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocational Award (NVA) Level III with at least two (2) passes in Certificate of Secondary Education Examinations (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Clinical Dentistry,ordinary diploma in clinical dentistry,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) Passes in non-religious Subjects including Biology, and Chemistry, Physics/Engineering Sciences.",yes,no,no,no,no,four CSEE passes,,,Biology; Chemistry; Engineering Science; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Environmental Health Sciences,ordinary diploma in environmental health sciences,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Biology Chemistry and Physics/Engineering Sciences.,yes,no,no,no,no,four CSEE passes,,,Biology; Chemistry; Engineering Science; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Health Records Management,ordinary diploma in health records management,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry, Biology, Basic Mathematics and English Language",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics and English Language.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage.",yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; Engineering Science; English; English Language; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage.,yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,"Holders of Basic Technician Certificate (NTA Level 4) in Social Work, Gender, Community Development, Youth Work OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Social Work, Gender, Community Development, Youth Work",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,KAM COLLEGE OF HEALTH SCIENCES,kam health sciences,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Bachelor Business Administrati on (Procuremen t),bachelor business administrati on procuremen t,Kampala International University in Tanzania (KIUT),kampala international tanzania kiut,"Diploma in Business Management, Business Administration, Accountancy, Commerce, Marketing, Cooperative Management and Accounting, Finance and Banking, Entrepreneurship, Microfinance Management, Human Resource Management, International Business, Financial Administration, Economics and Banking, Economics, Statistics, Tax, Insurance and Risk Management, Public 100 3 Administration, Economic Development, Local Government Adnimistration, Banking and Finance, Procurement and Logistics Management, Logistic Management, Information Technology with Accounting, Business Studies, Law, Customs and Tax Management, Procurement and Supplies Management, Government Accounting and finance, public sector Finance Management, Business Studies ,Secretarial Studies, Records Management, Counseling and Psychology, Youth Development Work, Gender and Development, Secretarial Studies, Records Management, Management, Marketing, Law, Public Administration, Procurement, Accounting, International Relations and Diplomacy, Tax Administration, Hotel Management, Labor Law, Labor Studies, Political Science, Journalism, Mass Communication, Information Studies, Tourism or Education with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,no,yes,yes,,,,Accountancy; Accounting; Business Studies; Commerce; Economics,,,yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: KUC13.
Bachelor Business Administrati on (Procuremen t),bachelor business administrati on procuremen t,Kampala International University in Tanzania (KIUT),kampala international tanzania kiut,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, French, Arabic, Fine 4.0 180 3 Points (Procurement) Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",no,yes,no,no,no,,two principal passes,,Accountancy; Advanced Mathematics; Agriculture; Arabic; Biology; Chemistry; Commerce; Computer Science; Economics; English; English Language; French; Geography; History; Kiswahili; Mathematics; Nutrition; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: KUC13.
